품목 중분류,단위,시도,기준일,당일 가격,1개월 전 가격,1년 전 가격,평년 가격
쌀,20KG,서울,20211109,52500,55000,54360,44567
쌀,20KG,부산,20211109,54000,56000,58800,45000
쌀,20KG,대구,20211109,56000,58600,56400,46667
쌀,20KG,광주,20211109,52300,56000,53700,44400
쌀,20KG,대전,20211109,54600,58100,54000,44833
쌀,20KG,서울,20211109,50600,50600,52420,43373
쌀,20KG,부산,20211109,52000,54000,56800,43000
쌀,20KG,대구,20211109,54000,56600,54400,44000
쌀,20KG,광주,20211109,50300,53550,52420,42733
쌀,20KG,대전,20211109,50000,54575,52000,42560
찹쌀,40KG,서울,20211109,125000,128000,131000,115667
찹쌀,40KG,부산,20211109,125000,132000,130000,114667
찹쌀,40KG,대구,20211109,124000,130000,126000,115533
찹쌀,40KG,광주,20211109,117000,128000,124600,111867
찹쌀,40KG,대전,20211109,121000,125000,125000,111333
찹쌀,40KG,서울,20211109,111000,118000,120000,106333
찹쌀,40KG,부산,20211109,115000,122000,120000,106333
찹쌀,40KG,대구,20211109,119000,125000,120200,107467
찹쌀,40KG,광주,20211109,113000,127000,120600,107200
찹쌀,40KG,대전,20211109,115000,116000,115000,102667
콩,35KG,서울,20211109,225000,225000,187600,178200
콩,35KG,부산,20211109,230000,230000,190000,178333
콩,35KG,대구,20211109,224000,232000,194000,188667
콩,35KG,광주,20211109,211000,223000,201200,177333
콩,35KG,대전,20211109,235000,235000,190000,177800
콩,35KG,부산,20211109,210000,210000,180000,168333
콩,35KG,대구,20211109,216000,224000,176000,175667
콩,35KG,대전,20211109,225000,225000,180000,169400
콩,35KG,부산,20211109,140000,140000,140000,120000
콩,35KG,대구,20211109,141000,141000,140000,123667
콩,35KG,광주,20211109,123000,121000,117000,119667
콩,35KG,대전,20211109,131000,131000,130000,119533
팥,40KG,서울,20211109,456000,456000,464000,371333
팥,40KG,부산,20211109,440000,480000,430400,370133
팥,40KG,대구,20211109,460000,500000,455200,407733
팥,40KG,광주,20211109,333000,436000,444800,366000
팥,40KG,대전,20211109,453000,500000,422000,375933
팥,40KG,부산,20211109,380000,420000,375600,331867
팥,40KG,대구,20211109,433000,460000,438800,385600
팥,40KG,대전,20211109,416000,460000,402000,350067
팥,40KG,서울,20211109,256000,254000,201000,165667
팥,40KG,대구,20211109,245000,245000,205000,167000
팥,40KG,광주,20211109,256000,256000,214000,164000
팥,40KG,대전,20211109,250000,249000,182000,159267
녹두,40KG,서울,20211109,740000,653000,578600,403333
녹두,40KG,부산,20211109,700000,660000,578000,413333
녹두,40KG,대구,20211109,700000,700000,580000,426667
녹두,40KG,광주,20211109,680000,658000,570000,378667
녹두,40KG,대구,20210827,713000,760000,465000,415000
녹두,40KG,서울,20211109,213000,213000,280000,249000
녹두,40KG,부산,20211109,210000,230000,225000,233333
녹두,40KG,대구,20211109,220000,220000,180000,226667
녹두,40KG,광주,20211109,203000,210000,173000,190000
녹두,40KG,대전,20211109,223000,223000,210000,217667
메밀,1KG,대구,20211008,4200,4500,3218,3099
고구마,10KG,서울,20211109,28000,31800,36400,30667
고구마,10KG,부산,20211109,29000,35000,35600,29467
고구마,10KG,대구,20211109,29300,32800,35300,27933
고구마,10KG,대전,20211109,28200,32800,35400,28467
고구마,10KG,서울,20211109,23000,26800,31400,26667
고구마,10KG,부산,20211109,25000,31000,31600,25800
고구마,10KG,대구,20211109,24000,27500,32900,23600
고구마,10KG,대전,20211109,23200,27800,30900,23467
감자,20KG,서울,20211109,33600,33475,35600,35600
감자,20KG,부산,20211109,33000,32750,35500,34033
감자,20KG,대구,20211109,33000,32750,35200,34400
