품목 대분류,품목 중분류,품목 소분류,등급,단위,시도,기준일,당일 가격,1개월 전 가격,1년 전 가격,평년 가격
식량작물,쌀,일반계,상품,20KG,서울,20211109,52500,55000,54360,44567
식량작물,쌀,일반계,상품,20KG,부산,20211109,54000,56000,58800,45000
식량작물,쌀,일반계,상품,20KG,대구,20211109,56000,58600,56400,46667
식량작물,쌀,일반계,상품,20KG,광주,20211109,52300,56000,53700,44400
식량작물,쌀,일반계,상품,20KG,대전,20211109,54600,58100,54000,44833
식량작물,쌀,일반계,중품,20KG,서울,20211109,50600,50600,52420,43373
식량작물,쌀,일반계,중품,20KG,부산,20211109,52000,54000,56800,43000
식량작물,쌀,일반계,중품,20KG,대구,20211109,54000,56600,54400,44000
식량작물,쌀,일반계,중품,20KG,광주,20211109,50300,53550,52420,42733
식량작물,쌀,일반계,중품,20KG,대전,20211109,50000,54575,52000,42560
식량작물,찹쌀,일반계,상품,40KG,서울,20211109,125000,128000,131000,115667
식량작물,찹쌀,일반계,상품,40KG,부산,20211109,125000,132000,130000,114667
식량작물,찹쌀,일반계,상품,40KG,대구,20211109,124000,130000,126000,115533
식량작물,찹쌀,일반계,상품,40KG,광주,20211109,117000,128000,124600,111867
식량작물,찹쌀,일반계,상품,40KG,대전,20211109,121000,125000,125000,111333
식량작물,찹쌀,일반계,중품,40KG,서울,20211109,111000,118000,120000,106333
식량작물,찹쌀,일반계,중품,40KG,부산,20211109,115000,122000,120000,106333
식량작물,찹쌀,일반계,중품,40KG,대구,20211109,119000,125000,120200,107467
식량작물,찹쌀,일반계,중품,40KG,광주,20211109,113000,127000,120600,107200
식량작물,찹쌀,일반계,중품,40KG,대전,20211109,115000,116000,115000,102667
식량작물,콩,흰 콩(국산),상품,35KG,서울,20211109,225000,225000,187600,178200
식량작물,콩,흰 콩(국산),상품,35KG,부산,20211109,230000,230000,190000,178333
식량작물,콩,흰 콩(국산),상품,35KG,대구,20211109,224000,232000,194000,188667
식량작물,콩,흰 콩(국산),상품,35KG,광주,20211109,211000,223000,201200,177333
식량작물,콩,흰 콩(국산),상품,35KG,대전,20211109,235000,235000,190000,177800
식량작물,콩,흰 콩(국산),중품,35KG,부산,20211109,210000,210000,180000,168333
식량작물,콩,흰 콩(국산),중품,35KG,대구,20211109,216000,224000,176000,175667
식량작물,콩,흰 콩(국산),중품,35KG,대전,20211109,225000,225000,180000,169400
식량작물,콩,흰 콩(수입),중품,35KG,서울,20211109,124000,,136000,122000
식량작물,콩,흰 콩(수입),중품,35KG,부산,20211109,140000,140000,140000,120000
식량작물,콩,흰 콩(수입),중품,35KG,대구,20211109,141000,141000,140000,123667
식량작물,콩,흰 콩(수입),중품,35KG,광주,20211109,123000,121000,117000,119667
식량작물,콩,흰 콩(수입),중품,35KG,대전,20211109,131000,131000,130000,119533
식량작물,팥,붉은 팥(국산),상품,40KG,서울,20211109,456000,456000,464000,371333
